GEOID,median_income,total_commuters,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90plus_min,workers_16plus,workers_no_vehicle,commute_mode_total,transit_commuters,disability_pop,medicaid_total,medicaid_below_poverty,medicaid_above_poverty,median_gross_rent,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_not_computed,total_population,school_enrollment_public,educational_attainment_base,total_households,households_no_vehicle,pct_transit_commuters,pct_no_vehicle,pct_rent_burdened_severe,hourly_wage_estimate,stop_count,route_count,transit_score,is_transit_desert,crash_count,total_fatalities,total_jobs,housing_cost_ratio,transport_cost_ratio,ht_combined_ratio,ht_above_threshold,disability_actual,school_age_pop_5_17,elderly_65plus,single_parent_hh
39049000110,133315.0,1778.0,140.0,78.0,21.0,47.0,0.0,0.0,2352.0,0.0,2352.0,19.0,3465.0,3465.0,43.0,12.0,1721.0,30.0,0.0,0.0,39.0,3472.0,398.0,2884.0,1812.0,40.0,0.0081,0.0,0.0,64.09,16.0,6.0,0.0612,False,0.0,0.0,2062,0.1549113003037917,0.0750103139181637,0.2299216142219555,False,502.0,201.0,744.0,102.0
39049000120,105583.0,1241.0,35.0,9.0,17.0,29.0,30.0,0.0,2019.0,31.0,2020.0,27.0,3428.0,3428.0,32.0,109.0,1279.0,7.0,0.0,0.0,64.0,3428.0,515.0,2854.0,1708.0,31.0,0.0134,0.0154,0.0,50.76,17.0,4.0,0.0434,False,0.0,0.0,1715,0.1453643105424168,0.093545362416298,0.2389096729587149,False,387.0,434.0,818.0,56.0
39049000210,126736.0,1305.0,94.0,11.0,21.0,8.0,11.0,0.0,1942.0,105.0,1942.0,138.0,3106.0,3106.0,34.0,8.0,1102.0,58.0,20.0,23.0,48.0,3106.0,633.0,2557.0,1551.0,115.0,0.0711,0.0541,0.0148,60.93,6.0,3.0,0.0115,False,0.0,0.0,1689,0.1043428859992425,0.0754892059083449,0.1798320919075874,False,238.0,401.0,595.0,46.0
39049000220,124342.0,1718.0,47.0,25.0,87.0,58.0,19.0,0.0,2398.0,22.0,2398.0,25.0,4263.0,4263.0,0.0,60.0,1633.0,34.0,10.0,70.0,80.0,4263.0,772.0,3402.0,2026.0,22.0,0.0104,0.0092,0.0346,59.78,13.0,2.0,0.0166,False,0.0,0.0,2453,0.1575975937334126,0.0798314326615303,0.2374290263949429,False,292.0,498.0,1007.0,66.0
39049000310,60761.0,1172.0,72.0,0.0,22.0,11.0,0.0,23.0,1349.0,0.0,1349.0,0.0,2993.0,2993.0,130.0,326.0,1134.0,72.0,43.0,81.0,124.0,2993.0,683.0,2166.0,1264.0,65.0,0.0,0.0,0.0641,29.21,10.0,2.0,0.0128,False,1.0,1.0,1585,0.2239594476720264,0.1645792531393492,0.3885387008113757,False,481.0,552.0,410.0,220.0
39049000320,52344.0,1491.0,202.0,16.0,72.0,82.0,0.0,193.0,1620.0,13.0,1620.0,0.0,3032.0,3032.0,97.0,357.0,1481.0,14.0,7.0,0.0,36.0,3032.0,596.0,2323.0,1288.0,139.0,0.0,0.008,0.0,25.17,11.0,3.0,0.021,False,0.0,0.0,1230,0.3395231545162769,0.1898211829436038,0.5293443374598807,True,436.0,479.0,353.0,50.0
39049000330,46649.0,1136.0,16.0,17.0,48.0,74.0,35.0,0.0,1308.0,35.0,1308.0,76.0,2797.0,2797.0,242.0,338.0,1188.0,1.0,8.0,38.0,143.0,2797.0,535.0,1860.0,1112.0,35.0,0.0581,0.0268,0.0342,22.43,7.0,3.0,0.0134,False,0.0,0.0,1104,0.3056014062466505,0.2097708418186885,0.515372248065339,True,246.0,578.0,213.0,96.0
39049000410,93646.0,1250.0,140.0,60.0,26.0,0.0,33.0,0.0,1675.0,88.0,1675.0,112.0,2519.0,2519.0,47.0,81.0,1402.0,9.0,19.0,19.0,157.0,2519.0,491.0,1990.0,1195.0,72.0,0.0669,0.0525,0.0159,45.02,8.0,3.0,0.0153,False,0.0,0.0,1407,0.1796552976101488,0.1023001516348803,0.2819554492450291,False,218.0,228.0,209.0,63.0
39049000420,91212.0,1333.0,140.0,0.0,5.0,60.0,0.0,8.0,1973.0,36.0,1974.0,8.0,3147.0,3147.0,39.0,95.0,1224.0,122.0,12.0,8.0,43.0,3147.0,409.0,2675.0,1574.0,61.0,0.0041,0.0182,0.0051,43.85,20.0,4.0,0.051,False,0.0,0.0,1813,0.1610314432311538,0.108038415997895,0.2690698592290488,False,254.0,254.0,625.0,51.0
39049000500,87705.0,1882.0,260.0,0.0,30.0,9.0,72.0,3.0,3055.0,103.0,3055.0,90.0,4257.0,4257.0,133.0,481.0,1236.0,24.0,76.0,53.0,271.0,4267.0,842.0,3395.0,2152.0,140.0,0.0295,0.0337,0.0246,42.17,10.0,3.0,0.0191,False,0.0,0.0,2103,0.1691123653155464,0.1109446439769682,0.2800570092925146,False,536.0,422.0,327.0,109.0
