GEOID,median_income,total_population,total_households,transit_score,is_transit_desert,transit_dependency_score,transit_dependency_weight,transit_hardship_index,vulnerability_segment,affected_workers_estimate,transit_dependent_population_estimate,forced_drive_commuters_estimate,ht_burdened_households_estimate,lost_wages_annual,healthcare_annual,environment_annual,education_annual,forgone_affordability_annual,cost_of_inaction_annual,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049000110,133315.0,3472.0,1812.0,0.0612,False,0.221986518238471,1.222,40.08,Moderate hardship,19.0,76.64459161147903,17.84,40.0,12845.59,5991.74,6594.11,7935.48,0.0,33366.92,34346.22,106110.32,182205.28,0.0,24.81
39049000120,105583.0,3428.0,1708.0,0.0434,False,0.19991361974668612,1.1999,41.99,Moderate hardship,31.0,62.21779859484777,29.65,31.0,19284.33,4723.2,10998.87,16824.44,0.0,51830.84,53195.2,163850.08,280491.5,0.0,27.53
39049000210,126736.0,3106.0,1551.0,0.0115,False,0.21326988304436706,1.2133,41.52,Moderate hardship,138.0,230.29658284977435,136.41,115.0,64804.48,20494.32,50927.9,15718.77,0.0,151945.47,156597.69,484375.14,832693.55,0.0,31.46
39049000220,124342.0,4263.0,2026.0,0.0166,False,0.15953092432063087,1.1595,41.97,Moderate hardship,25.0,46.29121421520237,24.58,114.0,20210.8,3325.39,9167.42,18655.46,0.0,51359.07,52669.14,162098.61,277265.04,0.0,30.87
39049000310,60761.0,2993.0,1264.0,0.0128,False,0.2579860126403991,1.258,51.75,High-need transit burden,0.0,153.91218354430382,0.0,196.0,0.0,13409.52,0.0,22434.98,0.0,35844.5,36717.15,112892.19,192939.17,6.45,52.52
39049000320,52344.0,3032.0,1288.0,0.021,False,0.26905299316067893,1.2691,60.52,High-need transit burden,13.0,327.21118012422363,12.73,139.0,23557.24,32982.51,4743.62,19639.81,732644.83,813568.01,838210.34,2591625.19,4453054.6,0.0,39.78
39049000330,46649.0,2797.0,1112.0,0.0134,False,0.14330010678136668,1.1433,48.45,Moderate hardship,76.0,88.03507194244604,74.98,47.0,36279.95,6609.26,27982.7,21349.81,163867.87,256089.59,263528.61,813813.41,1396657.82,0.0,41.06
39049000410,93646.0,2519.0,1195.0,0.0153,False,0.1680865046939275,1.1681,43.85,Moderate hardship,112.0,151.77238493723848,110.29,72.0,77425.49,12559.81,41144.78,8604.4,0.0,139734.48,144141.44,446239.24,767799.37,0.0,33.48
39049000420,91212.0,3147.0,1574.0,0.051,False,0.18260611800479504,1.1826,44.77,Moderate hardship,36.0,121.9612452350699,34.16,142.0,19935.97,9660.02,12652.46,9704.6,0.0,51953.05,53518.28,165465.61,284339.11,0.0,39.72
39049000500,87705.0,4267.0,2152.0,0.0191,False,0.19817494246224893,1.1982,47.08,Moderate hardship,103.0,277.59293680297395,101.03,153.0,76668.48,23851.61,37661.51,16336.07,0.0,154517.67,159411.96,493597.26,849457.41,0.0,38.5
39049000600,64250.0,4005.0,1815.0,0.0383,False,0.21676579931982673,1.2168,51.58,High-need transit burden,89.0,458.97520661157023,85.59,338.0,45528.43,45029.26,31782.87,5542.99,0.0,127883.55,132364.45,411213.09,710083.65,0.0,55.53
39049000710,50353.0,3010.0,1292.0,0.0172,False,0.26382292260174317,1.2638,56.76,High-need transit burden,145.0,319.171826625387,142.51,218.0,120151.94,31901.15,53144.51,20905.2,47263.47,273366.27,282004.52,873100.7,1502371.31,0.0,56.46
39049000720,43198.0,2835.0,1074.0,0.0166,False,0.4727221119202156,1.4727,60.91,High-need transit burden,96.0,725.9078212290502,94.41,275.0,54835.54,113414.27,35211.4,39728.91,1462549.42,1705739.54,1757995.94,5437373.26,9346163.35,0.0,56.66
39049000730,34792.0,3353.0,1369.0,0.0102,False,0.5370614400035755,1.5371,60.22,High-need transit burden,483.0,1151.1395178962748,478.07,470.0,95320.75,215509.51,178531.24,29696.77,2407449.06,2926507.33,3016584.6,9331420.11,16041802.31,40.28,52.67
39049000810,64162.0,2892.0,1167.0,0.0153,False,0.26427127646291343,1.2643,48.4,Moderate hardship,11.0,282.5089974293059,10.83,114.0,5138.8,27710.99,4040.24,25243.21,0.0,62133.24,63964.02,197661.51,339542.78,0.0,36.24
39049000820,70329.0,3687.0,1579.0,0.0051,False,0.2674713003640487,1.2675,53.38,High-need transit burden,127.0,266.19252691576946,126.35,138.0,144395.7,24628.63,47232.58,23587.2,0.0,239844.11,247470.11,766336.23,1318944.27,0.0,43.94
39049000910,38365.0,3398.0,1275.0,0.0255,False,0.4787428668889788,1.4787,62.61,High-need transit burden,14.0,844.8360784313726,13.64,317.0,8054.37,130863.57,5078.13,40989.56,3141993.74,3326979.37,3428028.77,10599778.72,18214350.11,0.0,58.8
39049000920,29595.0,2039.0,750.0,0.0115,False,0.273955757705722,1.274,52.49,High-need transit burden,28.0,255.55466666666666,27.68,117.0,1901.53,26879.61,10334.17,21732.48,1478036.77,1538884.56,1585020.94,4899100.94,8415047.67,0.0,56.97
39049001000,37096.0,4802.0,2037.0,0.0153,False,0.196141775575081,1.1961,52.52,High-need transit burden,270.0,445.54639175257734,265.87,328.0,63497.85,40875.36,99185.44,4753.12,3517548.29,3725860.06,3837985.0,11863988.89,20380518.59,0.0,56.53
39049001110,24854.0,3382.0,1217.0,0.0115,False,0.29623669644868117,1.2962,53.92,High-need transit burden,138.0,772.5521774856203,136.41,278.0,8024.04,101257.26,50927.9,879.42,4792750.05,4953838.67,5103742.34,15779319.03,27111077.24,0.0,59.95
39049001121,72537.0,10701.0,64.0,0.0383,False,0.17977349725663597,1.1798,42.66,Moderate hardship,208.0,208.0,200.03,6.0,39066.65,18865.0,74278.86,6213.01,0.0,138423.52,142571.31,440695.35,757071.41,4.49,31.65
39049001122,43219.0,2352.0,529.0,0.0383,False,0.17020305126017524,1.1702,47.43,High-need transit burden,120.0,195.62948960302458,115.4,88.0,10081.07,17162.93,42852.47,1474.45,522657.66,594228.58,612122.48,1892243.91,3250696.16,4.26,55.29
39049001200,33650.0,3497.0,1156.0,0.0159,False,0.25771482254203726,1.2577,53.49,High-need transit burden,190.0,586.8667820069204,186.98,194.0,38714.03,66582.45,69746.35,1544.07,2303667.46,2480254.36,2555477.77,7901372.04,13576689.05,0.0,57.28
39049001301,50977.0,2870.0,1092.0,0.0006,False,0.19250080677460124,1.1925,53.87,High-need transit burden,52.0,189.23076923076923,51.97,232.0,32128.55,16217.6,19445.1,5124.08,445187.44,518102.77,533860.3,1650811.71,2836822.7,0.0,60.73
39049001302,35121.0,2602.0,597.0,0.0128,False,0.3223104352476125,1.3223,54.84,High-need transit burden,259.0,566.5996649916248,255.68,131.0,29986.28,74319.09,95431.8,2563.23,1216767.04,1419067.44,1462380.88,4522494.72,7772529.9,0.0,63.84
39049001400,36053.0,1717.0,548.0,0.051,False,0.37446888720052296,1.3745,54.26,High-need transit burden,30.0,216.19160583941607,28.47,79.0,4440.54,24564.12,10544.95,21981.43,768019.81,829550.85,854379.65,2640673.33,4535664.3,18.72,55.12
39049001500,39022.0,2038.0,800.0,0.0115,False,0.33901178341883964,1.339,54.38,High-need transit burden,37.0,295.51,36.57,116.0,15401.1,34068.73,13653.2,24009.3,690896.68,778029.01,801457.48,2477567.15,4256349.71,0.0,45.13
