AREA_TITLE,OCC_CODE,OCC_TITLE,H_MEAN,H_MEDIAN,A_MEAN,A_MEDIAN
"Cincinnati, OH-KY-IN",00-0000,All Occupations,30.78,23.31,64020.0,48490.0
"Cincinnati, OH-KY-IN",11-0000,Management Occupations,61.49,51.19,127900.0,106460.0
"Cincinnati, OH-KY-IN",11-1011,Chief Executives,136.38,102.06,283670.0,212290.0
"Cincinnati, OH-KY-IN",11-1021,General and Operations Managers,58.3,47.0,121260.0,97760.0
"Cincinnati, OH-KY-IN",11-1031,Legislators,,,54720.0,33400.0
"Cincinnati, OH-KY-IN",11-2011,Advertising and Promotions Managers,54.46,49.08,113270.0,102090.0
"Cincinnati, OH-KY-IN",11-2021,Marketing Managers,72.86,67.27,151540.0,139920.0
"Cincinnati, OH-KY-IN",11-2022,Sales Managers,72.24,62.28,150260.0,129540.0
"Cincinnati, OH-KY-IN",11-2032,Public Relations Managers,59.8,50.68,124370.0,105410.0
"Cincinnati, OH-KY-IN",11-2033,Fundraising Managers,58.45,50.2,121580.0,104420.0
"Cincinnati, OH-KY-IN",11-3012,Administrative Services Managers,52.9,47.51,110030.0,98820.0
"Cincinnati, OH-KY-IN",11-3013,Facilities Managers,49.52,46.65,103010.0,97020.0
"Cincinnati, OH-KY-IN",11-3021,Computer and Information Systems Managers,84.02,79.92,174760.0,166230.0
"Cincinnati, OH-KY-IN",11-3031,Financial Managers,77.39,67.67,160960.0,140750.0
"Cincinnati, OH-KY-IN",11-3051,Industrial Production Managers,60.31,58.21,125440.0,121070.0
"Cincinnati, OH-KY-IN",11-3061,Purchasing Managers,72.19,68.09,150150.0,141620.0
"Cincinnati, OH-KY-IN",11-3071,"Transportation, Storage, and Distribution Managers",54.23,47.6,112790.0,99010.0
"Cincinnati, OH-KY-IN",11-3111,Compensation and Benefits Managers,69.69,61.69,144940.0,128300.0
"Cincinnati, OH-KY-IN",11-3121,Human Resources Managers,70.36,62.68,146340.0,130380.0
"Cincinnati, OH-KY-IN",11-3131,Training and Development Managers,60.08,56.58,124970.0,117680.0
"Cincinnati, OH-KY-IN",11-9021,Construction Managers,52.0,48.35,108160.0,100570.0
"Cincinnati, OH-KY-IN",11-9031,"Education and Childcare Administrators, Preschool and Daycare",24.94,22.08,51870.0,45930.0
"Cincinnati, OH-KY-IN",11-9032,"Education Administrators, Kindergarten through Secondary",,,100350.0,101600.0
"Cincinnati, OH-KY-IN",11-9033,"Education Administrators, Postsecondary",52.57,39.63,109350.0,82440.0
"Cincinnati, OH-KY-IN",11-9039,"Education Administrators, All Other",32.95,26.16,68530.0,54420.0
"Cincinnati, OH-KY-IN",11-9041,Architectural and Engineering Managers,83.65,79.82,173990.0,166030.0
"Cincinnati, OH-KY-IN",11-9051,Food Service Managers,31.23,29.77,64950.0,61910.0
"Cincinnati, OH-KY-IN",11-9072,"Entertainment and Recreation Managers, Except Gambling",33.12,27.83,68900.0,57890.0
"Cincinnati, OH-KY-IN",11-9081,Lodging Managers,32.41,29.61,67410.0,61600.0
"Cincinnati, OH-KY-IN",11-9111,Medical and Health Services Managers,58.27,50.65,121200.0,105360.0
"Cincinnati, OH-KY-IN",11-9121,Natural Sciences Managers,75.5,78.98,157030.0,164270.0
"Cincinnati, OH-KY-IN",11-9131,Postmasters and Mail Superintendents,47.3,45.0,98380.0,93600.0
"Cincinnati, OH-KY-IN",11-9141,"Property, Real Estate, and Community Association Managers",35.96,28.98,74800.0,60270.0
"Cincinnati, OH-KY-IN",11-9151,Social and Community Service Managers,37.75,36.45,78510.0,75820.0
"Cincinnati, OH-KY-IN",11-9161,Emergency Management Directors,42.78,41.39,88980.0,86090.0
"Cincinnati, OH-KY-IN",11-9171,Funeral Home Managers,41.15,43.54,85580.0,90560.0
"Cincinnati, OH-KY-IN",11-9179,"Personal Service Managers, All Other",32.51,25.96,67620.0,54000.0
"Cincinnati, OH-KY-IN",11-9199,"Managers, All Other",66.18,64.31,137650.0,133760.0
"Cincinnati, OH-KY-IN",13-0000,Business and Financial Operations Occupations,41.65,37.33,86640.0,77640.0
"Cincinnati, OH-KY-IN",13-1020,Buyers and Purchasing Agents,37.38,35.84,77750.0,74540.0
"Cincinnati, OH-KY-IN",13-1031,"Claims Adjusters, Examiners, and Investigators",33.14,29.97,68930.0,62330.0
"Cincinnati, OH-KY-IN",13-1041,Compliance Officers,39.93,37.76,83060.0,78540.0
"Cincinnati, OH-KY-IN",13-1051,Cost Estimators,39.01,36.56,81150.0,76040.0
"Cincinnati, OH-KY-IN",13-1071,Human Resources Specialists,35.79,32.41,74440.0,67420.0
"Cincinnati, OH-KY-IN",13-1075,Labor Relations Specialists,41.39,37.38,86090.0,77750.0
"Cincinnati, OH-KY-IN",13-1081,Logisticians,40.19,37.42,83590.0,77830.0
"Cincinnati, OH-KY-IN",13-1082,Project Management Specialists,49.13,46.68,102200.0,97090.0
"Cincinnati, OH-KY-IN",13-1111,Management Analysts,47.55,42.75,98900.0,88910.0
"Cincinnati, OH-KY-IN",13-1121,"Meeting, Convention, and Event Planners",27.11,24.63,56390.0,51220.0
"Cincinnati, OH-KY-IN",13-1131,Fundraisers,33.79,31.56,70280.0,65650.0
"Cincinnati, OH-KY-IN",13-1141,"Compensation, Benefits, and Job Analysis Specialists",36.26,35.95,75410.0,74770.0
"Cincinnati, OH-KY-IN",13-1151,Training and Development Specialists,35.27,33.17,73360.0,68990.0
"Cincinnati, OH-KY-IN",13-1161,Market Research Analysts and Marketing Specialists,38.74,33.85,80570.0,70410.0
"Cincinnati, OH-KY-IN",13-1199,"Business Operations Specialists, All Other",39.53,36.33,82230.0,75570.0
"Cincinnati, OH-KY-IN",13-2011,Accountants and Auditors,41.81,37.91,86970.0,78860.0
"Cincinnati, OH-KY-IN",13-2020,Property Appraisers and Assessors,34.62,34.99,72020.0,72770.0
"Cincinnati, OH-KY-IN",13-2031,Budget Analysts,42.18,39.2,87740.0,81530.0
"Cincinnati, OH-KY-IN",13-2041,Credit Analysts,41.29,36.3,85890.0,75500.0
"Cincinnati, OH-KY-IN",13-2051,Financial and Investment Analysts,47.91,41.75,99640.0,86840.0
"Cincinnati, OH-KY-IN",13-2052,Personal Financial Advisors,72.99,45.84,151810.0,95350.0
"Cincinnati, OH-KY-IN",13-2053,Insurance Underwriters,42.08,39.04,87530.0,81190.0
"Cincinnati, OH-KY-IN",13-2054,Financial Risk Specialists,49.68,47.89,103320.0,99620.0
"Cincinnati, OH-KY-IN",13-2061,Financial Examiners,41.54,38.88,86400.0,80870.0
"Cincinnati, OH-KY-IN",13-2071,Credit Counselors,28.14,27.9,58540.0,58020.0
"Cincinnati, OH-KY-IN",13-2072,Loan Officers,38.76,31.6,80610.0,65720.0
"Cincinnati, OH-KY-IN",13-2081,"Tax Examiners and Collectors, and Revenue Agents",30.86,28.64,64200.0,59570.0
"Cincinnati, OH-KY-IN",13-2082,Tax Preparers,22.5,22.49,46810.0,46780.0
"Cincinnati, OH-KY-IN",13-2099,"Financial Specialists, All Other",41.3,39.04,85910.0,81200.0
"Cincinnati, OH-KY-IN",15-0000,Computer and Mathematical Occupations,49.05,47.49,102030.0,98780.0
"Cincinnati, OH-KY-IN",15-1211,Computer Systems Analysts,52.48,48.69,109150.0,101270.0
"Cincinnati, OH-KY-IN",15-1212,Information Security Analysts,55.4,51.92,115230.0,108000.0
"Cincinnati, OH-KY-IN",15-1231,Computer Network Support Specialists,34.67,31.53,72120.0,65580.0
"Cincinnati, OH-KY-IN",15-1232,Computer User Support Specialists,28.23,25.65,58710.0,53360.0
"Cincinnati, OH-KY-IN",15-1241,Computer Network Architects,62.13,61.98,129230.0,128910.0
"Cincinnati, OH-KY-IN",15-1242,Database Administrators,48.8,48.32,101500.0,100510.0
"Cincinnati, OH-KY-IN",15-1243,Database Architects,62.91,62.69,130860.0,130400.0
"Cincinnati, OH-KY-IN",15-1244,Network and Computer Systems Administrators,48.96,47.45,101840.0,98690.0
"Cincinnati, OH-KY-IN",15-1251,Computer Programmers,56.17,57.65,116840.0,119900.0
