GEOID,affected_workers_estimate,lost_wages_annual,transit_dependent_population_estimate,healthcare_annual,forced_drive_commuters_estimate,environment_annual,education_annual,ht_burdened_households_estimate,forgone_affordability_annual,cost_of_inaction_annual,annual_cost_year_1,annual_cost_year_2,annual_cost_year_3,annual_cost_year_4,annual_cost_year_5,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049000110,19.0,12845.59,76.64459161147903,5991.74,17.84,6594.11,7935.48,40.0,0.0,33366.92,34346.22,35358.66,36405.44,37487.83,38607.13,34346.22,106110.32,182205.28,0.0,24.81
39049000120,31.0,19284.33,62.21779859484777,4723.2,29.65,10998.87,16824.44,31.0,0.0,51830.84,53195.2,54602.05,56052.83,57549.08,59092.34,53195.2,163850.08,280491.5,0.0,27.53
39049000210,138.0,64804.48,230.29658284977435,20494.32,136.41,50927.9,15718.77,115.0,0.0,151945.47,156597.69,161404.9,166372.55,171506.32,176812.09,156597.69,484375.14,832693.55,0.0,31.46
39049000220,25.0,20210.8,46.29121421520237,3325.39,24.58,9167.42,18655.46,114.0,0.0,51359.07,52669.14,54019.12,55410.35,56844.23,58322.2,52669.14,162098.61,277265.04,0.0,30.87
39049000310,0.0,0.0,153.91218354430382,13409.52,0.0,0.0,22434.98,196.0,0.0,35844.5,36717.15,37620.18,38554.86,39522.5,40524.48,36717.15,112892.19,192939.17,6.45,52.52
39049000320,13.0,23557.24,327.21118012422363,32982.51,12.73,4743.62,19639.81,139.0,732644.83,813568.01,838210.34,863613.49,889801.36,916798.64,944630.77,838210.34,2591625.19,4453054.6,0.0,39.78
39049000330,76.0,36279.95,88.03507194244604,6609.26,74.98,27982.7,21349.81,47.0,163867.87,256089.59,263528.61,271193.49,279091.31,287229.33,295615.08,263528.61,813813.41,1396657.82,0.0,41.06
39049000410,112.0,77425.49,151.77238493723848,12559.81,110.29,41144.78,8604.4,72.0,0.0,139734.48,144141.44,148695.63,153402.17,158266.38,163293.75,144141.44,446239.24,767799.37,0.0,33.48
39049000420,36.0,19935.97,121.9612452350699,9660.02,34.16,12652.46,9704.6,142.0,0.0,51953.05,53518.28,55136.79,56810.54,58541.56,60331.94,53518.28,165465.61,284339.11,0.0,39.72
39049000500,103.0,76668.48,277.59293680297395,23851.61,101.03,37661.51,16336.07,153.0,0.0,154517.67,159411.96,164474.36,169710.94,175128.02,180732.13,159411.96,493597.26,849457.41,0.0,38.5
39049000600,89.0,45528.43,458.97520661157023,45029.26,85.59,31782.87,5542.99,338.0,0.0,127883.55,132364.45,137012.97,141835.67,146839.37,152031.19,132364.45,411213.09,710083.65,0.0,55.53
39049000710,145.0,120151.94,319.171826625387,31901.15,142.51,53144.51,20905.2,218.0,47263.47,273366.27,282004.52,290933.32,300162.86,309703.73,319566.88,282004.52,873100.7,1502371.31,0.0,56.46
39049000720,96.0,54835.54,725.9078212290502,113414.27,94.41,35211.4,39728.91,275.0,1462549.42,1705739.54,1757995.94,1811893.2,1867484.12,1924823.22,1983966.87,1757995.94,5437373.26,9346163.35,0.0,56.66
39049000730,483.0,95320.75,1151.1395178962748,215509.51,478.07,178531.24,29696.77,470.0,2407449.06,2926507.33,3016584.6,3109497.6,3205337.91,3304200.14,3406182.06,3016584.6,9331420.11,16041802.31,40.28,52.67
39049000810,11.0,5138.8,282.5089974293059,27710.99,10.83,4040.24,25243.21,114.0,0.0,62133.24,63964.02,65863.36,67834.13,69879.3,72001.97,63964.02,197661.51,339542.78,0.0,36.24
39049000820,127.0,144395.7,266.19252691576946,24628.63,126.35,47232.58,23587.2,138.0,0.0,239844.11,247470.11,255355.78,263510.34,271943.35,280664.69,247470.11,766336.23,1318944.27,0.0,43.94
39049000910,14.0,8054.37,844.8360784313726,130863.57,13.64,5078.13,40989.56,317.0,3141993.74,3326979.37,3428028.77,3532189.91,3639560.04,3750239.51,3864331.88,3428028.77,10599778.72,18214350.11,0.0,58.8
39049000920,28.0,1901.53,255.55466666666666,26879.61,27.68,10334.17,21732.48,117.0,1478036.77,1538884.56,1585020.94,1632553.91,1681526.09,1731981.45,1783965.28,1585020.94,4899100.94,8415047.67,0.0,56.97
39049001000,270.0,63497.85,445.54639175257734,40875.36,265.87,99185.44,4753.12,328.0,3517548.29,3725860.06,3837985.0,3953498.96,4072504.93,4195109.04,4321420.66,3837985.0,11863988.89,20380518.59,0.0,56.53
39049001110,138.0,8024.04,772.5521774856203,101257.26,136.41,50927.9,879.42,278.0,4792750.05,4953838.67,5103742.34,5258206.32,5417370.37,5581378.61,5750379.6,5103742.34,15779319.03,27111077.24,0.0,59.95
39049001121,208.0,39066.65,208.0,18865.0,200.03,74278.86,6213.01,6.0,0.0,138423.52,142571.31,146852.47,151271.57,155833.35,160542.71,142571.31,440695.35,757071.41,4.49,31.65
