GEOID,crash_count,total_fatalities
39049006392,0.0,0.0
39049009361,2.0,2.0
39049006500,0.0,0.0
39049006600,0.0,0.0
39049006710,0.0,0.0
39049006721,0.0,0.0
39049008132,1.0,1.0
39049006810,0.0,0.0
39049006821,0.0,0.0
39049006923,0.0,0.0
39049006910,0.0,0.0
39049006921,2.0,2.0
39049006924,0.0,0.0
39049008210,2.0,2.0
39049008241,1.0,1.0
39049008242,1.0,1.0
39049008311,0.0,0.0
39049008312,0.0,0.0
39049008321,0.0,0.0
39049009440,1.0,1.0
39049002800,0.0,0.0
39049008822,1.0,1.0
39049009100,0.0,0.0
39049002740,1.0,1.0
39049005900,0.0,0.0
39049008322,1.0,1.0
39049008330,0.0,0.0
39049008340,1.0,1.0
39049008350,1.0,1.0
39049008360,0.0,0.0
39049009420,0.0,0.0
39049000120,0.0,0.0
39049006950,0.0,0.0
39049002520,0.0,0.0
39049005620,0.0,0.0
39049007812,3.0,3.0
39049004810,0.0,0.0
39049008710,1.0,1.0
39049008110,0.0,0.0
39049001200,0.0,0.0
39049008380,3.0,3.0
39049008400,0.0,0.0
39049008500,0.0,0.0
39049008811,1.0,1.0
39049008813,0.0,0.0
39049008821,1.0,1.0
39049007533,0.0,0.0
39049007520,0.0,0.0
39049007113,0.0,0.0
39049007492,0.0,0.0
39049007425,0.0,0.0
39049009336,1.0,1.0
39049006391,0.0,0.0
39049008230,0.0,0.0
39049001600,0.0,0.0
39049006722,0.0,0.0
39049002760,0.0,0.0
39049007820,0.0,0.0
39049009390,0.0,0.0
39049004620,0.0,0.0
39049000500,0.0,0.0
39049008120,0.0,0.0
39049008825,2.0,2.0
39049008900,0.0,0.0
39049009000,1.0,1.0
39049008730,3.0,3.0
39049009373,2.0,2.0
39049006430,0.0,0.0
39049006822,0.0,0.0
39049007550,1.0,1.0
39049008720,2.0,2.0
39049009323,0.0,0.0
39049000110,0.0,0.0
39049000210,0.0,0.0
39049000220,0.0,0.0
39049000310,1.0,1.0
39049000320,0.0,0.0
39049000710,0.0,0.0
39049000330,0.0,0.0
39049000410,0.0,0.0
39049000420,0.0,0.0
39049000600,0.0,0.0
39049000810,0.0,0.0
39049000820,0.0,0.0
39049000910,0.0,0.0
39049007426,0.0,0.0
39049000720,0.0,0.0
39049000730,3.0,4.0
39049000920,0.0,0.0
39049001000,0.0,0.0
39049001110,0.0,0.0
39049001400,2.0,2.0
39049001500,0.0,0.0
39049001700,0.0,0.0
39049001810,0.0,0.0
39049009220,0.0,0.0
39049008812,1.0,2.0
39049002510,2.0,2.0
