GEOID,total_jobs
39049000110,2062
39049000120,1715
39049000210,1689
39049000220,2453
39049000310,1585
39049000320,1230
39049000330,1104
39049000410,1407
39049000420,1813
39049000500,2103
39049000600,2017
39049000710,1256
39049000720,909
39049000730,1106
39049000810,1162
39049000820,1285
39049000910,1304
39049000920,791
39049001000,1887
39049001110,721
39049001121,924
39049001122,476
39049001200,1030
39049001301,757
39049001302,465
39049001400,597
39049001500,619
39049001600,1214
39049001700,1058
39049001810,973
39049001820,1311
39049001901,1992
39049001902,2523
39049002000,2046
39049002100,1402
39049002200,2349
39049002300,759
39049002510,1152
39049002520,1280
39049002600,1122
39049002710,958
39049002730,859
39049002740,1230
39049002750,953
39049002760,1660
39049002770,935
39049002780,1078
39049002800,1064
39049002900,873
39049003000,1914
39049003200,1749
39049003600,1000
39049003700,1706
39049003800,1225
39049004001,726
39049004002,1596
39049004200,595
39049004301,1733
39049004302,645
39049004500,1803
39049004610,1814
39049004620,904
39049004700,1674
39049004810,1335
39049004820,955
39049004900,1993
39049005001,628
39049005002,1149
39049005100,698
39049005200,2013
39049005300,1234
39049005410,645
39049005420,893
39049005500,1790
39049005610,872
39049005620,1137
39049005700,2161
39049005810,1686
39049005820,1259
39049005900,1095
39049006000,1031
39049006100,1090
39049006236,2907
39049006237,3095
39049006238,1009
39049006239,2793
39049006240,2892
39049006241,3939
39049006301,1713
39049006302,1980
39049006310,2248
39049006321,2192
39049006323,1686
39049006330,2646
39049006340,1510
39049006351,2097
39049006352,1652
39049006353,2291
39049006372,3027
39049006384,3336
39049006386,2980
39049006387,2971
39049006391,2795
39049006392,2293
39049006393,2757
39049006394,1605
39049006395,2009
39049006396,2596
39049006397,3212
39049006398,1890
39049006410,1397
39049006430,2307
39049006500,1784
39049006600,1939
39049006710,1360
39049006721,1764
39049006722,1498
39049006810,1279
39049006821,1583
39049006822,1085
39049006910,936
39049006921,1819
39049006923,1789
39049006924,2006
39049006931,2868
39049006932,3071
39049006933,2280
39049006943,2198
39049006944,2116
39049006945,2505
39049006950,1342
39049006991,2424
39049006992,2050
39049007010,1496
39049007020,3132
39049007041,1387
39049007043,2811
39049007044,3070
39049007047,1918
39049007048,3410
39049007101,1664
39049007102,1559
39049007103,1745
39049007112,3185
39049007113,2535
39049007114,2271
39049007115,2578
39049007120,2786
39049007193,3164
39049007198,1563
39049007199,3022
39049007202,1962
39049007205,3604
39049007209,4629
39049007211,1935
39049007212,2536
39049007213,2536
39049007214,2118
39049007215,3172
39049007301,3048
39049007302,2557
39049007303,3020
39049007305,2135
39049007306,2268
39049007394,1714
39049007397,1788
39049007398,4062
39049007424,2850
39049007425,1490
39049007426,1795
39049007427,3360
39049007492,3177
39049007494,2348
39049007511,684
39049007512,1662
39049007520,1154
39049007531,1235
39049007532,1081
39049007533,737
39049007534,1360
39049007550,1137
39049007552,1752
39049007553,2207
39049007710,1903
39049007721,2181
39049007722,1502
39049007730,1650
39049007740,770
39049007811,1913
39049007812,2148
39049007820,1201
39049007830,1470
39049007922,3209
39049007931,2235
39049007941,1692
39049007955,1920
39049007956,2492
39049007957,2479
39049007958,1693
39049007959,1117
39049007960,2652
39049007961,2513
39049007962,2577
39049007963,1763
39049007964,3421
39049007965,1825
39049007966,2401
39049008001,1867
39049008002,1853
39049008110,1788
39049008120,1638
39049008132,3312
39049008163,1453
39049008164,1932
39049008165,1261
39049008166,2781
39049008167,1821
39049008168,1676
39049008169,2485
39049008170,2415
39049008171,1722
39049008172,2689
39049008210,912
39049008230,809
39049008241,1295
39049008242,3161
39049008311,1691
39049008312,1694
39049008321,1099
39049008322,1921
39049008330,798
39049008340,2334
39049008350,2531
39049008360,2812
39049008380,2148
39049008381,1986
39049008382,1944
39049008400,1635
39049008500,3251
39049008710,1107
39049008720,1281
39049008730,699
39049008811,679
39049008812,1368
39049008813,984
39049008821,1197
39049008822,1514
39049008825,2773
39049008900,2074
39049009000,1473
39049009100,2211
39049009220,1129
39049009230,2303
39049009240,1004
39049009250,933
39049009251,623
39049009252,1534
39049009311,1480
39049009312,1529
39049009321,1032
39049009322,1626
39049009323,1501
39049009325,1888
39049009326,820
39049009332,1495
39049009334,1254
39049009336,1212
39049009337,1989
39049009340,1365
39049009350,1478
39049009361,2199
39049009372,2010
39049009373,2809
39049009381,2714
39049009382,1492
39049009383,1287
39049009384,1461
39049009385,1902
39049009386,1507
39049009390,3292
39049009391,2420
39049009392,1733
39049009393,1375
39049009394,1009
39049009395,2297
39049009396,1349
39049009397,1366
39049009401,2281
39049009403,1727
39049009404,1312
39049009405,2015
39049009410,1359
39049009420,2710
39049009440,2464
39049009495,2555
39049009497,1097
39049009498,1676
39049009520,2068
39049009590,2545
39049009600,1935
39049009711,2091
39049009712,1295
39049009751,3208
39049009752,3800
39049009753,3011
39049009754,2179
39049009755,3402
39049009756,1178
39049009757,2176
39049009801,1544
39049009802,1667
39049009900,954
39049010000,3012
39049010100,716
39049010201,1849
39049010202,2926
39049010203,2103
39049010204,3016
39049010300,1171
39049010401,1373
39049010402,2423
39049010501,2389
39049010502,1808
39049010601,2848
39049010602,3357
39049010700,816
39049010900,2341
39049980000,72
