GEOID,neighborhood,display_name
39049006392,,Tract 63.92
39049009361,Far East Columbus,Far East Columbus · Tract 93.61
39049006500,,Tract 65
39049006600,,Tract 66
39049006710,,Tract 67.10
39049006721,,Tract 67.21
39049008132,Westland,Westland · Tract 81.32
39049006810,,Tract 68.10
39049006821,,Tract 68.21
39049006923,Northland,Northland · Tract 69.23
39049006910,,Tract 69.10
39049006921,,Tract 69.21
39049006924,Northland,Northland · Tract 69.24
39049008210,,Tract 82.10
39049008241,,Tract 82.41
39049008242,,Tract 82.42
39049008311,,Tract 83.11
39049008312,,Tract 83.12
39049008321,,Tract 83.21
39049009440,Groveport,Groveport · Tract 94.40
39049002800,Near East Side,Near East Side · Tract 28
39049008822,Far South Columbus,Far South Columbus · Tract 88.22
39049009100,,Tract 91
39049002740,Roseland,Roseland · Tract 27.40
39049005900,South Side,South Side · Tract 59
39049008322,,Tract 83.22
39049008330,Southwest Columbus,Southwest Columbus · Tract 83.30
39049008340,Southwest Columbus,Southwest Columbus · Tract 83.40
39049008350,,Tract 83.50
39049008360,,Tract 83.60
39049009420,,Tract 94.20
39049000120,,Tract 1.20
39049006950,,Tract 69.50
39049002520,Near East Side,Near East Side · Tract 25.20
39049005620,South Side,South Side · Tract 56.20
39049007812,Olentangy West,Olentangy West · Tract 78.12
39049004810,,Tract 48.10
39049008710,South Side,South Side · Tract 87.10
39049008110,Lincoln Village,Lincoln Village · Tract 81.10
39049001200,University District District 1,University District District 1 · Tract 12
39049008380,,Tract 83.80
39049008400,,Tract 84
39049008500,,Tract 85
39049008811,Steelton,Steelton · Tract 88.11
39049008813,,Tract 88.13
39049008821,Steelton,Steelton · Tract 88.21
39049007533,Parks Mills,Parks Mills · Tract 75.33
39049007520,Northeast Columbus,Northeast Columbus · Tract 75.20
39049007113,Northland,Northland · Tract 71.13
39049007492,,Tract 74.92
39049007425,,Tract 74.25
39049009336,,Tract 93.36
39049006391,Worthington Hills,Worthington Hills · Tract 63.91
39049008230,,Tract 82.30
39049001600,University District,University District · Tract 16
39049006722,,Tract 67.22
39049002760,Mid-East Columbus,Mid-East Columbus · Tract 27.60
39049007820,Olentangy West,Olentangy West · Tract 78.20
39049009390,Brookside Park,Brookside Park · Tract 93.90
39049004620,,Tract 46.20
39049000500,,Tract 5
39049008120,Lincoln Village,Lincoln Village · Tract 81.20
39049008825,Far South Columbus,Far South Columbus · Tract 88.25
39049008900,,Tract 89
39049009000,,Tract 90
39049008730,,Tract 87.30
39049009373,South East Columbus,South East Columbus · Tract 93.73
39049006430,,Tract 64.30
39049006822,,Tract 68.22
39049007550,Northeast Columbus,Northeast Columbus · Tract 75.50
