GEOID,stop_count,route_count,transit_score,is_transit_desert
39049006392,7.0,1.0,0.0045,False
39049009361,14.0,4.0,0.0357,False
39049006500,13.0,2.0,0.0166,False
39049006600,21.0,4.0,0.0536,False
39049006710,10.0,1.0,0.0064,False
39049006721,4.0,1.0,0.0026,False
39049008132,18.0,3.0,0.0344,False
39049006810,3.0,1.0,0.0019,False
39049006821,12.0,5.0,0.0383,False
39049006923,6.0,4.0,0.0153,False
39049006910,1.0,1.0,0.0006,False
39049006921,13.0,3.0,0.0249,False
39049006924,8.0,4.0,0.0204,False
39049008210,18.0,4.0,0.0459,False
39049008241,4.0,1.0,0.0026,False
39049008242,11.0,1.0,0.007,False
39049008311,14.0,3.0,0.0268,False
39049008312,8.0,2.0,0.0102,False
39049008321,8.0,2.0,0.0102,False
39049009440,0.0,0.0,0.0,True
39049002800,25.0,4.0,0.0638,False
39049008822,28.0,1.0,0.0179,False
39049009100,10.0,2.0,0.0128,False
39049002740,10.0,2.0,0.0128,False
39049005900,9.0,3.0,0.0172,False
39049008322,2.0,1.0,0.0013,False
39049008330,16.0,2.0,0.0204,False
39049008340,10.0,1.0,0.0064,False
39049008350,16.0,2.0,0.0204,False
39049008360,4.0,1.0,0.0026,False
39049009420,7.0,2.0,0.0089,False
39049000120,17.0,4.0,0.0434,False
39049006950,10.0,1.0,0.0064,False
39049002520,21.0,3.0,0.0402,False
39049005620,7.0,3.0,0.0134,False
39049007812,14.0,5.0,0.0446,False
39049004810,10.0,2.0,0.0128,False
39049008710,18.0,3.0,0.0344,False
39049008110,5.0,5.0,0.0159,False
39049001200,5.0,5.0,0.0159,False
39049008380,0.0,0.0,0.0,True
39049008400,21.0,2.0,0.0268,False
39049008500,23.0,4.0,0.0587,False
39049008811,9.0,2.0,0.0115,False
39049008813,13.0,1.0,0.0083,False
39049008821,17.0,1.0,0.0108,False
39049007533,2.0,1.0,0.0013,False
39049007520,24.0,2.0,0.0306,False
39049007113,15.0,2.0,0.0191,False
39049007492,16.0,3.0,0.0306,False
39049007425,4.0,1.0,0.0026,False
39049009336,0.0,0.0,0.0,True
39049006391,0.0,0.0,0.0,True
39049008230,6.0,4.0,0.0153,False
39049001600,9.0,4.0,0.023,False
39049006722,4.0,1.0,0.0026,False
39049002760,14.0,3.0,0.0268,False
39049007820,12.0,2.0,0.0153,False
39049009390,11.0,2.0,0.014,False
39049004620,6.0,2.0,0.0077,False
39049000500,10.0,3.0,0.0191,False
39049008120,9.0,3.0,0.0172,False
39049008825,6.0,1.0,0.0038,False
39049008900,10.0,2.0,0.0128,False
39049009000,8.0,2.0,0.0102,False
39049008730,20.0,4.0,0.051,False
39049009373,11.0,1.0,0.007,False
39049006430,26.0,3.0,0.0497,False
39049006822,2.0,2.0,0.0026,False
39049007550,23.0,3.0,0.044,False
39049008720,13.0,3.0,0.0249,False
39049009323,7.0,2.0,0.0089,False
39049000110,16.0,6.0,0.0612,False
39049000210,6.0,3.0,0.0115,False
39049000220,13.0,2.0,0.0166,False
39049000310,10.0,2.0,0.0128,False
39049000320,11.0,3.0,0.021,False
39049000710,9.0,3.0,0.0172,False
39049000330,7.0,3.0,0.0134,False
39049000410,8.0,3.0,0.0153,False
39049000420,20.0,4.0,0.051,False
39049000600,15.0,4.0,0.0383,False
39049000810,8.0,3.0,0.0153,False
39049000820,4.0,2.0,0.0051,False
39049000910,10.0,4.0,0.0255,False
39049007426,11.0,2.0,0.014,False
39049000720,13.0,2.0,0.0166,False
39049000730,8.0,2.0,0.0102,False
39049000920,6.0,3.0,0.0115,False
39049001000,8.0,3.0,0.0153,False
39049001110,6.0,3.0,0.0115,False
39049001400,20.0,4.0,0.051,False
39049001500,6.0,3.0,0.0115,False
39049001700,13.0,7.0,0.058,False
39049001810,6.0,5.0,0.0191,False
39049009220,11.0,2.0,0.014,False
39049008812,30.0,2.0,0.0383,False
39049002510,24.0,4.0,0.0612,False
39049006931,13.0,5.0,0.0415,False
39049006932,2.0,3.0,0.0038,False
39049001820,20.0,7.0,0.0893,False
39049002000,6.0,1.0,0.0038,False
39049002100,4.0,3.0,0.0077,False
39049002200,13.0,5.0,0.0415,False
39049002300,20.0,4.0,0.051,False
39049006933,18.0,4.0,0.0459,False
39049007205,0.0,0.0,0.0,True
39049007494,5.0,3.0,0.0096,False
39049007043,15.0,2.0,0.0191,False
39049001901,29.0,4.0,0.074,False
39049001902,22.0,3.0,0.0421,False
39049006236,0.0,0.0,0.0,True
39049006396,9.0,3.0,0.0172,False
39049006394,4.0,1.0,0.0026,False
39049006393,13.0,1.0,0.0083,False
39049007044,3.0,1.0,0.0019,False
39049007048,5.0,1.0,0.0032,False
39049007047,0.0,0.0,0.0,True
39049007198,0.0,0.0,0.0,True
39049007202,3.0,3.0,0.0057,False
39049010601,0.0,0.0,0.0,True
39049006395,12.0,4.0,0.0306,False
39049010700,8.0,5.0,0.0255,False
39049009900,2.0,3.0,0.0038,False
39049010000,0.0,0.0,0.0,True
39049010300,9.0,2.0,0.0115,False
39049009405,0.0,0.0,0.0,True
39049007397,9.0,2.0,0.0115,False
39049006992,5.0,1.0,0.0032,False
39049009397,13.0,3.0,0.0249,False
39049009394,7.0,2.0,0.0089,False
39049008171,3.0,1.0,0.0019,False
39049009754,0.0,0.0,0.0,True
39049007211,0.0,0.0,0.0,True
39049010202,4.0,1.0,0.0026,False
39049006241,0.0,0.0,0.0,True
39049007398,0.0,0.0,0.0,True
39049007213,1.0,2.0,0.0013,False
39049007103,4.0,2.0,0.0051,False
39049007212,0.0,0.0,0.0,True
39049007214,0.0,0.0,0.0,True
39049007961,0.0,0.0,0.0,True
39049007101,0.0,0.0,0.0,True
39049007215,0.0,0.0,0.0,True
39049009392,13.0,2.0,0.0166,False
39049009403,1.0,2.0,0.0013,False
39049007302,3.0,1.0,0.0019,False
39049010203,6.0,1.0,0.0038,False
39049006991,15.0,2.0,0.0191,False
39049010401,0.0,0.0,0.0,True
39049008002,0.0,0.0,0.0,True
39049008165,4.0,1.0,0.0026,False
39049006237,13.0,2.0,0.0166,False
39049007958,1.0,1.0,0.0006,False
39049007960,1.0,1.0,0.0006,False
39049009251,23.0,3.0,0.044,False
39049007963,0.0,0.0,0.0,True
39049008382,4.0,1.0,0.0026,False
39049008168,11.0,1.0,0.007,False
39049007956,3.0,2.0,0.0038,False
39049006239,14.0,2.0,0.0179,False
39049010502,0.0,0.0,0.0,True
39049009404,0.0,0.0,0.0,True
39049010204,11.0,2.0,0.014,False
39049009395,7.0,2.0,0.0089,False
39049009802,0.0,0.0,0.0,True
39049010900,0.0,0.0,0.0,True
39049007102,0.0,0.0,0.0,True
